# File generated by CMD 3.4 (http://stev.oapd.inaf.it/cmd) on Sat Oct 31 01:06:30 CET 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
9.8116e-05 -2.19174 9.84510 0.8051053882 2.4204969406    0.804  0.112  3.8185  4.458    1  0.000  0.531     0.00     0.00     0.00     0.00     0.00 -1 -1.07e-13      0.00 8.327e-01 1.673e-01 1.295e-05 3.562e-06 3.253e-05 -1.000 1.051e-05 4.490 4.711 4.979 4.617 4.350 4.083 3.771 3.511 3.495
9.8116e-05 -2.19174 9.84510 0.8188629746 2.4251470566    0.818  0.172  3.8243  4.428    1  0.000  0.531     0.00     0.00     0.00     0.00     0.00 -1 -1.26e-13      0.00 8.327e-01 1.672e-01 1.297e-05 3.567e-06 3.258e-05 -1.000 9.364e-05 4.339 4.552 4.807 4.459 4.203 3.946 3.648 3.400 3.386
9.8116e-05 -2.19174 9.84510 0.8315543532 2.4292800426    0.831  0.231  3.8298  4.397    1  0.000  0.531     0.00     0.00     0.00     0.00     0.00 -1 -1.48e-13      0.00 8.325e-01 1.674e-01 1.300e-05 3.574e-06 3.265e-05 -1.000 5.132e-05 4.191 4.397 4.640 4.306 4.059 3.812 3.527 3.291 3.278
9.8116e-05 -2.19174 9.84510 0.8421753645 2.4326291084    0.841  0.284  3.8346  4.369    1  0.000  0.531     0.00     0.00     0.00     0.00     0.00 -1 -1.71e-13      0.00 8.323e-01 1.677e-01 1.303e-05 3.583e-06 3.273e-05 -1.000 2.594e-05 4.060 4.262 4.491 4.169 3.931 3.693 3.419 3.193 3.181
9.8116e-05 -2.19174 9.84510 0.8500000238 2.4350347519    0.849  0.325  3.8381  4.347    1  0.000  0.531     0.00     0.00     0.00     0.00     0.00 -1 -1.92e-13      0.00 8.320e-01 1.680e-01 1.305e-05 3.590e-06 3.279e-05 -1.000 6.050e-05 3.958 4.158 4.376 4.062 3.831 3.599 3.334 3.116 3.105
9.8116e-05 -2.19174 9.84510 0.8544541001 2.4363815784    0.853  0.348  3.8404  4.334    1  0.000  0.531     0.00     0.00     0.00     0.00     0.00 -1 -2.05e-13      0.00 8.319e-01 1.680e-01 1.305e-05 3.591e-06 3.280e-05 -1.000 1.000e-04 3.899 4.097 4.309 4.000 3.773 3.546 3.286 3.073 3.062
9.8116e-05 -2.19174 9.84510 0.8628734946 2.4388837814    0.862  0.396  3.8448  4.309    1  0.000  0.531     0.00     0.00     0.00     0.00     0.00 -1 -2.35e-13      0.00 8.318e-01 1.681e-01 1.306e-05 3.592e-06 3.281e-05 -1.000 9.999e-05 3.781 3.977 4.174 3.876 3.658 3.439 3.189 2.987 2.976
9.8116e-05 -2.19174 9.84510 0.8732520342 2.4418921471    0.872  0.458  3.8503  4.274    1  0.000  0.531     0.00     0.00     0.00     0.00     0.00 -1  -2.8e-13      0.00 8.316e-01 1.683e-01 1.307e-05 3.595e-06 3.283e-05 -1.000 7.883e-05 3.626 3.819 3.998 3.714 3.506 3.297 3.061 2.871 2.861
9.8116e-05 -2.19174 9.84510 0.8829098940 2.4446187019    0.881  0.520  3.8555  4.238    1  0.000  0.531     0.00     0.00     0.00     0.00     0.00 -1 -3.34e-13      0.00 8.313e-01 1.686e-01 1.308e-05 3.598e-06 3.286e-05 -1.000 7.536e-05 3.471 3.664 3.824 3.552 3.355 3.156 2.932 2.754 2.745
9.8116e-05 -2.19174 9.84510 0.8919956088 2.4471216202    0.890  0.582  3.8602  4.198    1  0.000  0.531     0.00     0.00     0.00     0.00     0.00 -1 -4.01e-13      0.00 8.308e-01 1.692e-01 1.311e-05 3.607e-06 3.294e-05 -1.000 2.612e-05 3.315 3.507 3.648 3.388 3.201 3.012 2.799 2.632 2.623
9.8116e-05 -2.19174 9.84510 0.8999999762 2.4492788315    0.898  0.643  3.8636  4.155    1  0.000  0.531     0.00     0.00     0.00     0.00     0.00 -1 -4.84e-13      0.00 8.291e-01 1.709e-01 1.321e-05 3.633e-06 3.317e-05 -1.000 -2.980e-08 3.162 3.356 3.480 3.229 3.050 2.868 2.664 2.505 2.495
9.8116e-05 -2.19174 9.84510 0.9015154243 2.4496822357    0.900  0.655  3.8644  4.147    1  0.000  0.531     0.00     0.00     0.00     0.00     0.00 -1 -5.02e-13      0.00 8.288e-01 1.712e-01 1.323e-05 3.638e-06 3.321e-05 -1.000 3.099e-06 3.133 3.327 3.448 3.199 3.021 2.841 2.638 2.481 2.472
9.8116e-05 -2.19174 9.84510 0.9023346305 2.4498996735    0.901  0.662  3.8646  4.141    1  0.000  0.531     0.00     0.00     0.00     0.00     0.00 -1 -5.15e-13      0.00 8.286e-01 1.714e-01 1.324e-05 3.641e-06 3.324e-05 -1.000 4.783e-06 3.116 3.310 3.429 3.181 3.004 2.824 2.622 2.466 2.456
9.8116e-05 -2.19174 9.84510 0.9062116146 2.4509224892    0.904  0.697  3.8651  4.110    1  0.000  0.531     0.00     0.00     0.00     0.00     0.00 -1 -5.75e-13      0.00 8.278e-01 1.722e-01 1.329e-05 3.653e-06 3.335e-05 -1.000 1.273e-05 3.029 3.224 3.337 3.091 2.916 2.738 2.537 2.383 2.373
9.8116e-05 -2.19174 9.84510 0.9107734561 2.4521133900    0.909  0.742  3.8635  4.060    1  0.000  0.531     0.00     0.00     0.00     0.00     0.00 -1 -6.73e-13      0.00 8.269e-01 1.731e-01 1.334e-05 3.668e-06 3.348e-05 -1.000 2.199e-05 2.914 3.113 3.222 2.974 2.797 2.618 2.413 2.257 2.246
9.8116e-05 -2.19174 9.84510 0.9132218361 2.4527468681    0.911  0.770  3.8611  4.024    1  0.000  0.531     0.00     0.00     0.00     0.00     0.00 -1 -7.48e-13      0.00 8.263e-01 1.736e-01 1.337e-05 3.675e-06 3.355e-05 -1.000 2.697e-05 2.846 3.048 3.157 2.906 2.725 2.542 2.332 2.171 2.160
9.8116e-05 -2.19174 9.84510 0.9140505195 2.4529602528    0.912  0.780  3.8597  4.009    2  0.000  0.531     0.00     0.00     0.00     0.00     0.00 -1 -7.81e-13      0.00 8.262e-01 1.738e-01 1.338e-05 3.678e-06 3.357e-05 -1.000 2.854e-05 2.821 3.024 3.135 2.881 2.698 2.512 2.299 2.136 2.125
9.8116e-05 -2.19174 9.84510 0.9168789983 2.4536857605    0.915  0.817  3.8524  3.944    2  0.000  0.531     0.00     0.00     0.00     0.00     0.00 -1 -9.11e-13      0.00 8.256e-01 1.744e-01 1.341e-05 3.687e-06 3.365e-05 -1.000 3.429e-05 2.728 2.939 3.060 2.793 2.597 2.399 2.170 1.992 1.980
9.8116e-05 -2.19174 9.84510 0.9190431833 2.4542372227    0.917  0.850  3.8429  3.875    2  0.000  0.531     0.00     0.00     0.00     0.00     0.00 -1 -1.06e-12      0.00 8.251e-01 1.748e-01 1.344e-05 3.694e-06 3.372e-05 -1.000 3.874e-05 2.646 2.869 3.004 2.718 2.506 2.291 2.040 1.843 1.829
9.8116e-05 -2.19174 9.84510 0.9203305244 2.4545640945    0.918  0.872  3.8349  3.821    2  0.000  0.531     0.00     0.00     0.00     0.00     0.00 -1 -1.19e-12      0.00 8.249e-01 1.751e-01 1.345e-05 3.698e-06 3.375e-05 -1.000 4.131e-05 2.591 2.824 2.972 2.669 2.442 2.214 1.944 1.730 1.715
9.8116e-05 -2.19174 9.84510 0.9212942123 2.4548079967    0.919  0.891  3.8261  3.767    2  0.000  0.531     0.00     0.00     0.00     0.00     0.00 -1 -1.32e-12      0.00 8.247e-01 1.753e-01 1.347e-05 3.701e-06 3.378e-05 -1.000 4.327e-05 2.543 2.791 2.951 2.629 2.387 2.143 1.853 1.621 1.604
9.8116e-05 -2.19174 9.84510 0.9220359921 2.4549951553    0.920  0.907  3.8181  3.720    2  0.000  0.531     0.00     0.00     0.00     0.00     0.00 -1 -1.45e-12      0.00 8.245e-01 1.754e-01 1.347e-05 3.703e-06 3.380e-05 -1.000 4.472e-05 2.504 2.767 2.938 2.597 2.341 2.084 1.774 1.525 1.506
9.8116e-05 -2.19174 9.84510 0.9228589535 2.4552025795    0.921  0.926  3.8075  3.658    2  0.000  0.532     0.00     0.00     0.00     0.00     0.00 -1 -1.62e-12      0.00 8.244e-01 1.756e-01 1.348e-05 3.706e-06 3.382e-05 -1.000 4.640e-05 2.456 2.743 2.927 2.560 2.284 2.009 1.674 1.402 1.381
9.8116e-05 -2.19174 9.84510 0.9235738516 2.4553825855    0.921  0.943  3.7969  3.599    2  0.000  0.532     0.00     0.00     0.00     0.00     0.00 -1 -1.81e-12      0.00 8.242e-01 1.757e-01 1.349e-05 3.708e-06 3.384e-05 -1.000 4.777e-05 2.411 2.728 2.924 2.527 2.232 1.939 1.578 1.285 1.258
9.8116e-05 -2.19174 9.84510 0.9242012501 2.4555399418    0.922  0.959  3.7865  3.542    2  0.000  0.532     0.00     0.00     0.00     0.00     0.00 -1    -2e-12      0.00 8.239e-01 1.760e-01 1.352e-05 3.715e-06 3.391e-05 -1.000 8.419e-05 2.372 2.723 2.926 2.500 2.185 1.874 1.489 1.175 1.144
9.8116e-05 -2.19174 9.84510 0.9247831702 2.4556858540    0.923  0.973  3.7767  3.489    2  0.000  0.532     0.00     0.00     0.00     0.00     0.00 -1  -2.2e-12      0.00 8.167e-01 1.832e-01 1.392e-05 3.823e-06 3.488e-05 -1.000 1.000e-04 2.337 2.725 2.930 2.477 2.144 1.816 1.408 1.075 1.038
9.8116e-05 -2.19174 9.84510 0.9253424406 2.4558260441    0.923  0.986  3.7676  3.439    2  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1  -2.4e-12      0.00 8.042e-01 1.957e-01 1.463e-05 4.013e-06 3.658e-05 -1.000 9.994e-05 2.304 2.734 2.936 2.454 2.105 1.762 1.333 0.982 0.940
9.8116e-05 -2.19174 9.84510 0.9259067774 2.4559671879    0.924  1.002  3.7598  3.392    2  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -2.63e-12      0.00 7.843e-01 2.156e-01 1.577e-05 4.316e-06 3.927e-05 -1.000 9.996e-05 2.264 2.733 2.930 2.425 2.061 1.705 1.257 0.892 0.844
9.8116e-05 -2.19174 9.84510 0.9265553355 2.4561290741    0.924  1.029  3.7523  3.336    2  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -2.98e-12      0.00 7.719e-01 2.280e-01 1.648e-05 4.508e-06 4.099e-05 -1.000 9.996e-05 2.196 2.713 2.899 2.368 1.990 1.621 1.156 0.778 0.724
9.8116e-05 -2.19174 9.84510 0.9271780252 2.4562842846    0.925  1.068  3.7470  3.276    2  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1  -3.5e-12      0.00 7.666e-01 2.333e-01 1.679e-05 4.589e-06 4.172e-05 -1.000 6.345e-05 2.100 2.652 2.828 2.281 1.892 1.514 1.036 0.649 0.591
9.8116e-05 -2.19174 9.84510 0.9272707105 2.4563074112    0.925  1.074  3.7463  3.267    2  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -3.59e-12      0.00 7.660e-01 2.340e-01 1.683e-05 4.599e-06 4.181e-05 -1.000 4.476e-05 2.085 2.642 2.817 2.266 1.876 1.497 1.017 0.629 0.570
